body_cell,source_frame,weapon_cell,pose,offset_x,grip_x,grip_y,arm_pixels,weapon_pixels
512,69,595,0,0,-1,-1,-1,-1
512,69,596,1,0,25,17,39,83
512,69,597,2,0,19,6,47,84
512,69,598,3,0,19,6,47,91
512,69,599,4,0,28,20,46,0
512,69,600,5,0,8,20,19,2
512,69,601,6,0,20,20,30,65
512,69,602,7,9,19,20,46,72
512,69,603,8,0,21,20,32,65
513,70,604,0,0,-1,-1,-1,-1
513,70,605,1,0,25,17,38,83
513,70,606,2,0,19,6,51,84
513,70,607,3,0,19,6,51,91
513,70,608,4,0,28,20,43,0
513,70,609,5,0,9,21,19,2
513,70,610,6,0,20,20,27,59
513,70,611,7,9,19,20,43,71
513,70,612,8,0,21,20,29,59
514,71,613,0,0,-1,-1,-1,-1
514,71,614,1,0,25,17,38,85
514,71,615,2,0,19,6,51,86
514,71,616,3,0,19,6,51,93
514,71,617,4,0,28,20,43,0
514,71,618,5,0,9,21,19,1
514,71,619,6,0,20,20,27,59
514,71,620,7,9,19,20,43,71
514,71,621,8,0,21,20,29,59
515,72,622,0,0,-1,-1,-1,-1
515,72,623,1,0,25,17,43,89
515,72,624,2,0,19,6,54,89
515,72,625,3,0,19,6,54,96
515,72,626,4,0,28,20,44,0
515,72,627,5,0,8,22,19,1
515,72,628,6,0,20,20,30,64
515,72,629,7,9,19,20,44,71
515,72,630,8,0,21,20,32,64
516,73,631,0,0,-1,-1,-1,-1
516,73,632,1,0,25,17,25,89
516,73,633,2,0,19,6,45,89
516,73,634,3,0,19,6,45,96
516,73,635,4,0,28,20,26,0
516,73,636,5,0,21,22,21,2
516,73,637,6,0,20,20,14,73
516,73,638,7,9,19,20,26,77
516,73,639,8,0,21,20,19,73
517,74,640,0,0,-1,-1,-1,-1
517,74,641,1,0,25,17,22,89
517,74,642,2,0,19,6,42,89
517,74,643,3,0,19,6,42,96
517,74,644,4,0,28,20,27,0
517,74,645,5,0,21,21,21,2
517,74,646,6,0,20,20,17,67
517,74,647,7,9,19,20,27,72
517,74,648,8,0,21,20,19,67
518,75,649,0,0,-1,-1,-1,-1
518,75,650,1,0,25,17,21,83
518,75,651,2,0,19,6,39,84
518,75,652,3,0,19,6,39,91
518,75,653,4,0,28,20,28,0
518,75,654,5,0,21,20,21,2
518,75,655,6,0,20,20,18,67
518,75,656,7,9,19,20,28,72
518,75,657,8,0,21,20,21,67
519,76,658,0,0,-1,-1,-1,-1
519,76,659,1,0,25,17,20,83
519,76,660,2,0,19,6,42,84
519,76,661,3,0,19,6,42,91
519,76,662,4,0,28,20,25,0
519,76,663,5,0,22,21,21,2
519,76,664,6,0,20,20,15,63
519,76,665,7,9,19,20,25,70
519,76,666,8,0,21,20,17,63
520,77,667,0,0,-1,-1,-1,-1
520,77,668,1,0,25,17,23,85
