body_cell,source_frame,weapon_cell,pose,offset_x,grip_x,grip_y,arm_pixels,weapon_pixels
512,69,595,0,0,-1,-1,-1,-1
512,69,596,1,0,25,17,38,84
512,69,597,2,0,19,6,53,85
512,69,598,3,0,19,6,53,92
512,69,599,4,0,28,20,43,0
512,69,600,5,0,9,21,19,1
512,69,601,6,0,20,20,27,64
512,69,602,7,9,19,20,43,71
512,69,603,8,0,21,20,29,64
513,70,604,0,0,-1,-1,-1,-1
513,70,605,1,0,25,17,39,84
513,70,606,2,0,19,6,57,85
513,70,607,3,0,19,6,57,92
513,70,608,4,0,28,20,40,0
513,70,609,5,0,10,22,19,1
513,70,610,6,0,20,20,26,58
513,70,611,7,9,19,20,40,70
513,70,612,8,0,21,20,28,58
514,71,613,0,0,-1,-1,-1,-1
514,71,614,1,0,25,17,43,84
514,71,615,2,0,19,6,60,85
514,71,616,3,0,19,6,60,92
514,71,617,4,0,28,20,43,0
514,71,618,5,0,9,23,19,2
514,71,619,6,0,20,20,29,65
514,71,620,7,9,19,20,43,74
514,71,621,8,0,21,20,31,65
515,72,622,0,0,-1,-1,-1,-1
515,72,623,1,0,25,17,43,89
515,72,624,2,0,19,6,57,89
515,72,625,3,0,19,6,57,96
515,72,626,4,0,28,20,44,0
515,72,627,5,0,8,22,19,2
515,72,628,6,0,20,20,30,75
515,72,629,7,9,19,20,44,77
515,72,630,8,0,21,20,32,75
516,73,631,0,0,-1,-1,-1,-1
516,73,632,1,0,25,17,29,89
516,73,633,2,0,19,6,44,89
516,73,634,3,0,19,6,44,96
516,73,635,4,0,28,20,30,0
516,73,636,5,0,19,22,21,2
516,73,637,6,0,20,20,19,74
516,73,638,7,9,19,20,30,76
516,73,639,8,0,21,20,20,74
517,74,640,0,0,-1,-1,-1,-1
517,74,641,1,0,25,17,23,89
517,74,642,2,0,19,6,38,89
517,74,643,3,0,19,6,38,96
517,74,644,4,0,28,20,30,0
517,74,645,5,0,20,20,21,2
517,74,646,6,0,20,20,21,69
517,74,647,7,9,19,20,30,72
517,74,648,8,0,21,20,21,69
518,75,649,0,0,-1,-1,-1,-1
518,75,650,1,0,25,17,37,84
518,75,651,2,0,19,6,51,85
518,75,652,3,0,19,6,51,92
518,75,653,4,0,28,20,44,0
518,75,654,5,0,8,20,19,2
518,75,655,6,0,20,20,30,60
518,75,656,7,9,19,20,45,71
518,75,657,8,0,21,20,32,60
519,76,658,0,0,-1,-1,-1,-1
519,76,659,1,0,25,17,41,84
519,76,660,2,0,19,6,57,85
519,76,661,3,0,19,6,57,92
519,76,662,4,0,28,20,42,0
519,76,663,5,0,9,22,19,2
519,76,664,6,0,20,20,28,57
519,76,665,7,9,19,20,42,69
519,76,666,8,0,21,20,30,57
520,77,667,0,0,-1,-1,-1,-1
520,77,668,1,0,25,17,43,84
520,77,669,2,0,19,6,60,85
520,77,670,3,0,19,6,60,92
520,77,671,4,0,28,20,43,0
520,77,672,5,0,9,23,19,2
520,77,673,6,0,20,20,29,63
520,77,674,7,9,19,20,43,72
520,77,675,8,0,21,20,31,63
521,78,676,0,0,-1,-1,-1,-1
521,78,677,1,0,25,17,45,89
