frame,tag,stage,reference,body_cell,support,anchor_x,anchor_y,shoulder_x,shoulder_y,grip_x,grip_y,angle,duration_ms
1,贴墙,前手·探手,76,76,left,9.5,10.5,17.0,19.0,20.5,21.5,0,67
2,贴墙,前手·伸展,77,77,left,7.5,11.5,16.0,19.0,19.5,20.5,0,67
3,贴墙,前手·抓附,78,78,right,18,13.5,10.0,21.5,10,23.5,0,67
4,贴墙,前手·承重,79,79,right,19.5,11.5,9.0,21.5,9,23.5,0,67
5,贴墙,前手·停驻,80,80,right,19.5,11.5,9.0,21.5,9,23.5,0,67
6,贴墙,后手·探手,86,86,left,8.5,10.5,18.0,18.0,18.5,20.5,0,67
7,贴墙,后手·伸展,87,87,left,6.5,11.5,18.0,19.0,18.5,21.5,0,67
8,贴墙,后手·抓附,88,88,right,17.5,13.5,8.0,20.5,7.5,23.5,0,67
9,贴墙,后手·承重,89,89,right,19.5,13.5,8.0,20.5,7.5,23.5,0,67
10,贴墙,后手·停驻,90,90,right,19.5,13.5,8.0,21.0,7.5,23.5,0,67
11,悬挂,横移换手 1,107,107,right,22.5,8.5,11.0,16.5,9.5,8.5,0,67
12,悬挂,横移换手 2,108,108,right,22.5,8.5,12.0,17.5,12.5,10.5,0,67
13,悬挂,横移换手 3,109,109,right,21.5,8.5,14.5,17.5,16.5,11.5,0,67
14,悬挂,横移换手 4,110,110,right,18.5,8.5,16.5,18.0,19.5,12.5,0,67
15,悬挂,横移换手 5,111,111,left,14.5,8.5,18.0,18.5,21.5,10.5,0,67
16,悬挂,横移换手 6,112,112,left,10.5,8.5,18.5,17.0,22.5,9.5,0,67
17,悬挂,横移换手 7,113,113,right,22.5,8.5,10.5,14.5,9.5,8.5,0,67
18,悬挂,横移换手 8,114,114,right,22.5,8.5,12.0,15.0,12.5,10.5,0,67
19,悬挂,横移换手 9,115,115,right,21.5,8.5,0,0,0,0,0,67
20,悬挂,横移换手 10,116,116,right,18.5,8.5,0,0,0,0,0,67
21,悬挂,横移换手 11,117,117,left,14.5,8.5,19.5,16.5,21.5,10.5,0,67
22,悬挂,横移换手 12,118,118,left,10.5,8.5,19.5,16.0,22.5,9.5,0,67
23,悬挂,单手停驻 1,119,119,right,20.5,8.5,11.0,18.0,9.5,18,0,45
24,悬挂,单手停驻 2,120,120,right,20.5,8.5,11.0,18.0,9.5,18,0,45
25,悬挂,单手停驻 3,121,121,right,20.5,8.5,11.0,18.0,9.5,18,0,45
26,悬挂,单手停驻 4,122,122,right,20.5,8.5,11.0,18.0,9.5,18,0,45
27,悬挂,单手停驻 5,123,123,right,20.5,8.5,11.0,18.0,9.5,18,0,45
28,悬挂,单手停驻 6,124,124,right,20.5,8.5,11.0,18.0,9.5,18,0,45
29,攀爬,前手·探手,76,76,left,9.5,10.5,17.0,19.0,20.5,21.5,0,67
30,攀爬,前手·伸展,77,77,left,7.5,11.5,16.0,19.0,19.5,20.5,0,67
31,攀爬,前手·抓附,78,78,right,18,13.5,10.0,21.5,10,23.5,0,67
32,攀爬,前手·承重,79,79,right,19.5,11.5,9.0,21.5,9,23.5,0,67
33,攀爬,前手·停驻,80,80,right,19.5,11.5,9.0,21.5,9,23.5,0,67
34,攀爬,前手·抬身一,81,81,right,19.5,13.5,9.0,21.5,9,23.5,0,67
35,攀爬,前手·抬身二,82,82,right,19.5,15.5,9.0,21.0,9,23.5,0,67
36,攀爬,前手·抬身三,83,83,right,19.5,17.5,9.0,20.0,9,22.5,0,67
37,攀爬,前手·换脚,84,84,right,19.5,19.5,9.0,19.0,9,21.5,0,67
38,攀爬,前手·接下一抓,85,85,right,20.5,19.5,9.0,19.0,9,21.5,0,67
39,攀爬,后手·探手,86,86,left,8.5,10.5,18.0,18.0,18.5,20.5,0,67
40,攀爬,后手·伸展,87,87,left,6.5,11.5,18.0,19.0,18.5,21.5,0,67
41,攀爬,后手·抓附,88,88,right,17.5,13.5,8.0,20.5,7.5,23.5,0,67
42,攀爬,后手·承重,89,89,right,19.5,13.5,8.0,20.5,7.5,23.5,0,67
43,攀爬,后手·停驻,90,90,right,19.5,13.5,8.0,21.0,7.5,23.5,0,67
44,攀爬,后手·抬身一,91,91,right,19.5,15.5,8.0,22.0,7.5,23.5,0,67
45,攀爬,后手·抬身二,92,92,right,19.5,17.5,8.0,20.5,7.5,23.5,0,67
46,攀爬,后手·抬身三,93,93,right,19.5,19.5,8.0,19.5,7.5,22.5,0,67
47,攀爬,后手·换脚,94,94,right,20.5,21.5,8.0,18.5,7.5,21.5,0,67
48,攀爬,后手·接下一抓,95,95,right,20.5,20.5,8.0,19.0,7.5,21.5,0,67
49,爬梯,上行 1,160,160,left,10.5,5.5,19,15,20.5,13.5,0,80
50,爬梯,上行 2,161,161,left,10.5,7.5,19,15,20.5,10.5,0,80
51,爬梯,上行 3,162,162,right,20.5,7.5,11,14,10.5,9.5,0,80
52,爬梯,上行 4,163,163,right,20.5,6.5,11,14,10.5,11.5,0,80
53,爬梯,上行 5,164,164,right,20.5,5.5,12,15,10.5,13.5,0,80
54,爬梯,上行 6,165,165,right,20.5,7.5,12,15,10.5,10.5,0,80
55,爬梯,上行 7,166,166,left,10.5,7.5,20,14,20.5,9.5,0,80
56,爬梯,上行 8,167,167,left,10.5,6.5,20,14,20.5,11.5,0,80
57,爬梯,下滑 1,168,168,left,10.5,10.5,20,18,20.5,10.5,0,67
58,爬梯,下滑 2,169,169,left,10.5,10.5,20,18,20.5,10.5,0,67
59,爬梯,下滑 3,170,170,left,10.5,10.5,20,18,20.5,10.5,0,67
